geneName,WT1,WT2,WT3,KO1,KO2,KO3
ENSMUSG00000000001,2022,2141,2313,2311,2415,2748
ENSMUSG00000000003,0,0,0,0,0,0
ENSMUSG00000000028,157,128,97,98,112,145
ENSMUSG00000000031,0,0,0,0,0,0
ENSMUSG00000000037,5,5,8,7,10,8
ENSMUSG00000000049,0,0,0,0,0,2
ENSMUSG00000000056,473,470,548,528,567,595
ENSMUSG00000000058,1,4,3,2,0,3
ENSMUSG00000000078,1800,1775,1892,1772,1916,2058
ENSMUSG00000000085,156,169,166,165,139,179
ENSMUSG00000000088,467,485,473,521,508,584
ENSMUSG00000000093,8,5,5,10,7,19
ENSMUSG00000000094,0,0,0,0,0,0
ENSMUSG00000000103,0,0,0,0,0,0
ENSMUSG00000000120,0,0,0,0,0,1
ENSMUSG00000000125,115,87,109,89,103,92
ENSMUSG00000000126,0,0,0,0,0,0
ENSMUSG00000000127,4,2,4,1,0,2
ENSMUSG00000000131,3791,3693,3912,3826,3744,4091
ENSMUSG00000000134,603,578,518,523,494,570
ENSMUSG00000000142,556,550,507,474,451,572
ENSMUSG00000000148,522,529,498,462,513,568
ENSMUSG00000000149,413,361,343,363,364,364
ENSMUSG00000000154,0,0,2,0,0,2
ENSMUSG00000000157,0,0,0,0,0,0
ENSMUSG00000000159,0,0,0,0,0,0
ENSMUSG00000000167,0,4,3,3,3,8
ENSMUSG00000000168,360,397,430,372,437,432
ENSMUSG00000000171,587,644,543,597,657,711
ENSMUSG00000000182,0,0,1,1,1,1
ENSMUSG00000000183,0,0,0,0,0,0
ENSMUSG00000000184,8214,8150,8417,7459,7431,7785
ENSMUSG00000000194,929,961,917,822,891,1005
ENSMUSG00000000197,0,0,0,0,0,0
ENSMUSG00000000202,0,2,2,1,1,0
ENSMUSG00000000204,10,11,8,3,9,13
ENSMUSG00000000214,0,0,0,0,0,0
ENSMUSG00000000215,0,0,0,0,0,0
ENSMUSG00000000216,0,2,0,0,0,2
ENSMUSG00000000223,1,4,1,0,1,2
ENSMUSG00000000244,3351,3412,3919,3786,3735,3808
ENSMUSG00000000247,4,1,1,3,1,4
ENSMUSG00000000248,0,0,0,0,0,0
ENSMUSG00000000253,0,0,2,0,0,0
ENSMUSG00000000263,0,0,0,0,0,0
ENSMUSG00000000266,20,17,24,44,14,18
ENSMUSG00000000275,1564,1609,1444,1403,1444,1800
ENSMUSG00000000276,431,410,509,467,437,544
ENSMUSG00000000278,72,85,45,48,54,72
ENSMUSG00000000282,907,803,762,809,762,760
ENSMUSG00000000290,8436,8239,8276,8150,7960,8356
ENSMUSG00000000295,117,154,122,134,115,158
ENSMUSG00000000296,0,0,0,0,0,0
ENSMUSG00000000301,6,7,6,4,5,7
ENSMUSG00000000303,2,0,12,16,23,7
ENSMUSG00000000305,0,0,0,0,0,0
ENSMUSG00000000308,0,0,0,0,3,0
